Input,label
Yaxshi yaxshi,1
"Tovuqning klassi Shuningdek, men oldingi 3 ni sotib oldim, portugal tilida sotib oldim va ingliz tilida musiqa bilan almashtirdim. Umid qilamanki, xato tez orada o'rnatiladi.",0
Fab Ushbu o'yinni juda yoqtirgan o'yinni yoqtiraman,1
"Foydalanish juda qulay bo'lgan ajoyib dastur, men uni ishlatishdan xursandman))",1
Fantastic app ...,1
"Papa pizarosi uni yaxshi ko'rardi. Men yoshligimda kompyuterda o'ynab yurardim, lekin nihoyat Androidda topdim, shuning uchun men juda faxrlanaman. Bunga pul kerak. Agar imkon bo'lsa, 6 yulduz bilan ovoz beraman. Juda yaxshi.",1
Kuproq invistitsiyalar yunalishida va jinoyi tudalar qolaversa ularning qulga olingaligi xaqida bulsa yanayam qiziqarli bulardi .,1
"barcha xatolar bu bonusli turlarga to'g'ri kelmasligi uchun menga bir necha million dollarni aldab, biroq bir necha hafta davomida uni o'chirishni boshlashni yoqtirmaslik kerak",0
Nolinchi yulduzlar. Nexus 6-dagi qo'shimcha kontentni yuklab bo'lmadi. Ko'p WiFi ulanishlarini va LTE ma'lumotlarim tarmog'ini sinab ko'rdim. Ma'lumotlarni o'chirib tashladi va ilovadan o'chirib qo'yildi va qaytadan urinildi. Hali ham yo'q. Pulimni qaytarib olishni xohlayman.,0
"Darhaqiqat, bu sucks, hatto u ishlamaydi. Men 2 ta to'quv paketini tushirdim va ular hatto ocholmadilar. Men hatto darslikni ham o'qidim",0
Yaxshi dastur,1
Yaxshi o'yin . . . Ammo sizning yoningizda ikki sidekick samolyotingiz bilan qoldirgan o'yinni davom ettirsangiz yaxshi bo'lardi.,0
Ajoyib app)),1
"Men faqatgina tavsiya qilaman, siz tekshiruvlar ro'yxatini ko'rishingiz mumkin, chunki siz qaerdan olganingizdan keyin sizni shunchaki hayratga soladi",1
"Peppa cho'chqa o'yini yomon o'yin va waz umidsizlik, hech kimga tavsiya qilmaydi.",0
"Men bu o'yinni yaxshi ko'raman, ammo bu erda ham bir pog'ona yoki jiddiy darajadagi 422-raqamni olishim mumkin, bu boshqa muammo",0
"Men bu o'yinni bepul to'plam bilan yutib oldim, lekin o'yinni yuklab olishimdan beri men uni ""marmelad"" xatosi tufayli ocholmadim. Iltimos, bu o'yinni tartibga soling, chunki men hech qachon o'yinni o'ynata olmadim.",0
"Juda yomon, bu teatrda ... har bir teatrda o'ynab o'ynayapman ... uninstallin it ... plzzzzz dnt download",0
"BU APPni xarid qilyapman va bu vaqtni umid qilamanki, ikkinchi marta men uni yangilamoqchi bo'lsam, mening qurilmamdan eng ashaddiy dushman emas.",0
"Taomlar xilma-xilligini oshirish kerak. Ba'zi an'anaviy, O'zbek oilalarida eng ko'p tayyorlanadigan taomlar yo'q.",1
bu umuman ishlamadi,0
"Albatta, yaxshi XD",1
Qizim buni sevadi. Uni ishlatishda muammo yo'q,1
"Estetik va funktsional jihatdan mukammal, ajoyib dastur. Albatta, ishlab chiqaruvchini tabriklaymiz.",1
"Ha, yaxshi, iltimos ...",1
Vince barcha jumboq qismlarini yakunladi. Hech qanday jumboq yo'q. O'yin o'ynash uchun kulgili. Natijada SUCKED.,0
"Men aytmoqchimanki, yoki shikoyat qilsam, men o'zimning rasmimdan boshlayman yoki bu shaharni ko'rib chiqaman, lekin sekinlashtirish uchun bir shahar li",0
"FBda uni ochishga ruxsat berilmaydi. FB-da ocholmadim, mening elektron pochta parolimni rad etadi. Men ijro etolmaydigan ilova uchun to'langan 2.99. Har qanday taklif",0
"Perfect Bir pulni sarflang va tez, kichik va bepul xatolar, josuslar, va hokazo. Bepul reklama qiling. Mening smartfonimni boshqalar bilan silkitib, OSni qaytadan tiklashdan so'ng, faqat yaxshi narsalarni yuklang. Faqat yaxshiroq ushlab turish.",1
dasturga kirilganda ishlash tezligi kamayadi,0
"Nafrat qilishdan nafratlanish Maqsadingizga etib bormaganingizda, sizni boshlang'ichga olib boradi va bir muncha vaqt o'tgach tiqilib qoladi",0
O'zimga kerakli yo'nalish va manzillarni oson topib olaman. Rahmat!,1
Mening 2 yoshli va 4 yoshli qizim buni yaxshi ko'raman. Turli xil qiyinchilik darajalariga ega ekanligimni yaxshi ko'raman.,1
Wah ustad wah Ushbu ajoyib. Hech qachon tabla o'ynashim mumkinligini tasavvur qila olmayman. Yaxshi dastur. Juda original. Ushbu ajoyib dastur uchun ishlab chiquvchiga salom. U ajoyib,1
Faqatgina LOVE uni faqat LOVE,1
"Jonli Skorni men uni sevaman. Umid qilamanki, ishlab chiquvchilar Formula 1 va Golfni sport ro'yxatiga kiritishi mumkin .........",1
"Qanday Indi musiqasi menda katta hajmga ega edi va hali hech narsa eshitilmadi. O'yin o'ynadi. Lekin ovoz yo'q. Uzr, lekin men o'chirib tashladim.",0
Ajoyib Ipoteka bankniyam qushila,1
Super,1
Internet youtubega chiqmaydi unga filtr qo'yilgan,0
"Hech qanday Google buluti saqlanmaydi Uzr, lekin mijozlaringiz vaqtini va ko'p qurilma sozlamalarini qadrlashni o'rganmaguncha, u bitta yulduz. Toza ishlab chiquvchilardan charchagan. O'chirilgan.",0
Bu ajoyib dastur. San'atning barchasi juda chiroyli va men ushbu ilovada mavjud bo'lgan turli xil odamlarni sevaman. Ish ishlatishi mumkin bo'lgan bir narsa ... ba'zi videolar aniq emas va ko'rish qiyin. Aks holda ajoyib ilovalar.,1
"Miya qotiruvchisi Eng yuqori darajadagi ongim qaqragan, bu sizning umumiy fikringizni kuchaytirish uchun o'yin.",1
"Umid qilamanki bu o'yin uchun pul to'layman, lekin uni o'ynay olmadim. Ishlab chiquvchilarga elektron pochta orqali yuborgan savolimga javob bermadim. Keyin qaytarib berishni so'radim va ular hali ham javob bermaydi. Qanday professional emas. Men buni tushirmadim.",0
"Ishlamayman Internetda elektron pochta va parol bilan kirish mumkin, lekin smartfon yoki planshetda ishlamaydi. Ushbu tizimga kirish dasturi bo'lishi kerakmi yoki dstv hozir yoki kassa ishida ishlamaydi",0
Juda yaxshi,1
Muvaffaqiyatsiz kutish Android 5.1 da ishlaydigan Galaxy Note 4-da ishlamaydi. Juda yomon...,0
Eng yaxshi bloonlar o'yini Hech qachon yagona salbiy narsa MVMda DDTs qila olmaysiz. MvM tadqiqotiga qo'ying va 6-raqam o'rniga 7-raqamni keltiring.,1
Ishlamaslik Rangli sahifalar uchun chop etish va yuklash variantlari ishlamaydi. Samsung Galaxy Tab 2,0
Bu men foydalangan juda yaxshi ilova,1
Nega Uzreport va Futbol TV kanallarini chet eldan tomosha qilib bo'lmayapti???,1
Yomon Ham ishlamaydi,0
"Muso Molapisane Xo'sh, hayratlanarli ... Buni ham sinab ko'ring",1
Bangar o'yinlari,0
Super oson va xushbichim Ishga kirishish juda oson va telefoningizga zo'r ko'rinadi. Menga darhol kerak bo'lgan narsam keladi. Bu juda yaxshi,1
Katta o'yin Mening 3 yoshimda bu o'yinlarni bir yildan ko'proq vaqt davomida o'ynab kelmoqda. U yaxshi o'rganish o'yini va u faqat maymunni echib oladi. Tavsiya etiladi.,1
Boooo Sizga faqat 100 ta tanga va twitter va Facebook olish uchun pastki qismga ega bo'lishim kerak,0
Sucks,0
Ajoyib ajoyib vaqt,1
Katta o'yin juda qiziqarli. Bu erda hech qanday shikoyat yo'q,1
"Eng yaxshi, tezkor, qulay",1
"Ajablanarlisi, u ishlaydi va oddiy ... bug'doy yo'q",1
"Faqat ushbu o'yinni yaxshi ko'raman. Albatta, ajoyib",1
Vau sevgi,1
Bolalarim bu o'yinni yaxshi ko'raman,1
Manga yoqdi. It's ok,1
Ishlamaydi. CTD bilan aloqa qilish. Moto X 2014. EA juda kichik studiyalar bilan bir xil xatolar qilmoqda juda bezovta. MEN YO'Q,0
"Ezilgan ezilgan Bu o'yin do'kondagi eng yaxshisidir, endi esa so'nggi yangilanishdan so'ng katta xafa bo'lgan narsa emas.",0
"Kuchni yopib qo'ysa, dastur kuchimni yopib qo'yadi. Uni tuzating va 5 yulduz sizniki. Uni hozirdan foydalanib bo'lmaydi.",0
"Ishlamadimmi, telefonim uchun ovoz yo'qmi, uni ilova yoki telefonim bilmaydi.",0
ko'p ilovalar mening telefonimni android veriyasifa to'g'ri kelmayapti.,0
Ular istagan shikoyat qilaman,1
"Ogohlantirish Samsung Galaxy Ace-da to'g'ri ishlamaydi. Agar pul sarflashni istamasangiz, yuklab oling. Menga pul to'lash kerak",0
"Yangi grafikalar. Faqat yomonmi? O'yinni yaxshi ko'rish uchun foydalanilgan, ammo hozirgi vaqtda yangi grafikalar tufayli to'lash kerak.",0
"PayPal2 Ushbu o'yindan uzoq turish tavsiya etiladi. Buning o'rniga klanlarning to'qnashuvini o'ynash, bu o'yin juda katta vaqtni sarflashdir.",0
Best Ilova,1
Kanadadagi Dam olish kunlarining avtobuslari Kanada dam olishlarini aks ettirmaydi. Barcha kelishi va chiqish vaqti noto'g'ri.,0
"Xperia Ion LT28H Xush kelibsiz ... Endi, bu o'yinni yangi yangilash bilan oldingi kabi barcha muammolarni butunlay hal qila olaman.",1
Ajoyib,1
Juda yoqimli o'yin Qanchadan-qancha o'yin,1
ko`pgina ilovalarning butun ishlash imokiyati dasturning o`zida emas browzer oraqali internetdan ishlatish kerak,0
"Nima uchun jigar javob bermayapti Biz barchamiz bu ilovaning yangilanishi va yangilanishi uchun etarlicha katta bo'lamiz. Biroq, bu so'rovlarga to'liq javob yo'q. Oxirgi yuborganimdan beri bu muammo bo'lib qolmoqda. Jenerik maxx ustida shikastlanishni davom ettiradi",0
"Ishlamayapti, ular Verizon-Fios bilan mos kelishini aytishadi.",0
"Yangi versiyabi yuklab oling deyabti, eng ohirgi versiyani yuklab olgan bolsam ham. Serverdan kochirishga harakat qilsam Google play ga otib ketyabti. Ishlata olmadim",0
Platina kitob,1
Eng yaxshisi,1
QO'ShIMChA QO'ShIMChA QILMAYDI,0
"Satr muammolari Dushmanni to'xtatish uchun mazmunli labirintni o'rnatadigan pastki qatordagi minora o'rnatib bo'lmaydi va asosan o'yinni mag'lub etishga imkon bermaydi. Qachon ishlagan bo'lsa, hozirda ajoyib o'yin bo'lishi mumkin.",0
"Nima uchun nega arcade yoki free play rejimiga kirgan bo'lsam, u menga begona odam belgisiga tushib qolmasligi uchun ruxsat bermaydi, yoki pulni qaytarishni talab qilaman",0
"Bir ayol bilan turmushga chiqolmaysan, siz nimalarsiz, homofoblar",0
"Sachin Ramesh Tendulkar janob Anil, sachin endi kriket xudosi deb biladi. Agar uning ismini amalda bajarmasa, ularning tarixida bunday bo'lmaydi. Shunday qilib, amaliyot va amaliyotni mashq qiling.",1
"Cool Bu salqin edi, lekin kutganim yo'q edi, bilish kerak, chunki yaxshi edi",0
Chiroyli chaqaloq bilan bu hayotni hujjatlash uchun qidirmoqdaman,1
"Men uzoq vaqt davomida o'ynardim va zerikish ko'proq darajalarni oshirib, qurolni arzonlashtirib, faqat otish va g'alaba qozonishdan ko'ra nima qilishimiz mumkinligini va FYI bu qiz yozib, bularning barchasini qilsangiz, men sizga besh yulduz beraman",0
Ushbu jomadon app.,1
Yuklab bo'lmadi yuklash mumkin emas. pls uni tuzatadi,0
telegram ning theme menyusida yaxshi ranglar yo'q...,0
"Ajoyib, lekin ... Nimaga yangilanishni ikkita qismning o'rniga o'rnatish qismiga joylashtirmaysiz?",1
"Hayotsiz yashay olmaysiz Bu dasturni bilganingizdan so'ng, uning musthave Telefonim qayta o'rnatilgandan keyin o'rnatadigan birinchi narsa",1
Bu ilova ajoyib,1
"Buggssss Men cookie-fayllar yaratadigan pechka bu xuddi shunga o'xshash kichkina panjara qutisiga o'xshaydi. Pls xatoni tuzatadi, shuningdek, konstruktor 3 kishi 1 ta fayl o'rniga ochiladi",0
Do'stlar bilan o'ynash juda ajoyib. Bizda bu juda qiziqarli,1
Qadimgi Jbga nima qilishni bilmasdim,0
"Bizga yangi yangilanishdan nafratlanadigan eski narsaga muhtojmiz va ular eskisini qaytarib olishlari kerak. Xabarnomani tezda qabul qilmayman va bu bir necha daqiqa kechikadi. Bundan tashqari, ko'p narsalar ham qoladi",0
Juda yaxshi juda yaxshi,1
Error Eng muhim yangiliklarda pull to refresh qilganda yana o'sha saxifani reload qlib list ga qo'shb qo'yapti,0
Hook o'rnatilmaydi 100 marta ishlatilgan va kanca o'rnatilmaydi. To'lovni qaytaring.,0
yaxshi ishlamayapti avval yaxshi edi nma b6ldi jalap,0
"Xullas, juda yaxshi ko'raman. Uxlash va ichimlik suvi ichmaslik juda yoqimli",1
"Ajoyib o'yin uchun pul berganingiz uchun rahmat. 4 yoshli uni yaxshi ko'raman IAP axlati yo'q, faqat baxtli bola",1
Nima uchun shahar raqamining to'lovi yetishmayapti? Uzonline chiqadi,1
Yaxshi,1
Manga yoqd sizlarga tafsia etaman,1
Ushbu yangilanish Eith buzilgan yangilanishni faqat xatolarni tozalash va to'lovlarni amalga oshirish haqida ma'lumot olish mumkin. Self servis qobiliyati yo'q. Buning o'rniga biz call-markazga qo'ng'iroq qilishni xohlaysiz,0
Stupid Men etarli bo'lgan vaqtimda etarli miqdorda pul yo'q deb aytadi,0
O'tgan vaqtning ajoyib usuli Men ko'proq pul topishim mumkinligini istardim,1
"O'yinning eng yomon o'yinlari O'yinda hech narsa sodir bo'lmadi. Bir nechta yomon qiz ishlatishdi, bir nechta jirkanch narsalar va barcha yaxshi narsalar uchun pul to'lash kerak edi. Demak, aniq bo'lish uchun, bu eng yomon o'yin",0
"Ajablanarlisi, bu o'yinni juda yaxshi ko'raman. Menda PetWorld 3D Lite bor edi va men to'liq versiyani olish uchun deyarli o'layotgan edim. Mening nanim men uchun, shuningdek, 0.99 uchun Reptile sotib oldi. Pul to'lashga arziydi, juda kulgili.",1
Bazi birlari vaqtni olib maxsus kod so'raydi,0
Yaxshi Bu boshqa o'yinlarga qaraganda yaxshiroqdir,1
Mening Sport dunyosi meni qayg'uradigan barcha sport yangiliklari bilan real vaqtda ushlaydi,1
Yoqdi,1
"Men, albatta, buning ichiga kirmayapman, chunki yomon odamlar yo'q",0
Ajoyib dastur. Ayniqsa dizayni va qulayligiga gap yo'q,1
Nega yuklanmayapti,1
Sevgi bu ajoyib,1
"Ajablanarli ajoyib o'yin Ammo boshqa o'yinchilar uchun ozgina maslahat, har qanday darajani o'tkazib yubormang. Oxirgi darajaga tushganingizda, hamma skiplarni ishlatishingiz kerak, men butun o'yinni qayta boshlashim kerak edi",1
Bakwas adhuri kahani ...,0
Men bu o'yinni juda yaxshi ko'raman. Turli xil shtammlarni sotib olish kerakligi haqida shikoyat qiladiganlar oldingi holatni navbatdagi holni ochish uchun odatdagidan urish kerak.,1
"Siz freddys burunni sharaflashingiz mumkin. Men nima qilishim kerakligini yolg'on deb bilmayman, uning burni juda ko'p. Agar siz ishonmayotgan bo'lsangiz, men uni o'zim sinab ko'ring, men sizga jasorat qilaman.",1
"Fikrning kino va belgilarini yaxshi o'ylab topishingiz yaxshi o'yin va agar miya teaser yoki qiyin o'yinni tomosha qilsangiz, lekin ba'zida osonlik bilan filmni yoki karikaturani ajoyib o'yinni bilsangiz, bu oson bo'ladi",1
"Xushbichim ko'rinadi, lekin har safar qulab tushadi Xatolik Afsuski, Paket Kirish Helper to'xtatildi.",0
"Ushbu o'yinni juda ko'p yaxshi ko'raman. Uni kompyuterda o'ynatish uchun ishlatiladi, lekin u telefonda juda oson va men uni har doim o'ynashim mumkin",1
"Nihoyat, men bu o'yinni kutib o'tirdim, chunki o'tgan yili chiqqanini eshitdim va biz bu o'yinni yaxshi ko'rishni istaymiz va uni sevib qolsam, u boshqa odamdek tuyulgan odam emas. ..",1
TAS-IX emas,0
"Hech narsa bizning pinimizga yetkazilmaydi. Hatto eng yomon xizmat hatto snapdeal va myntra har doim ham yaxshi xizmatdir, sifat va sifat juda yaxshi ... Flipkart u, albatta, ur xizmatini yaxshilash kerak yoki dowm dowm",0
"Men nafratlanmagandim, aks holda bu yomon emas",0
"Qo'rqmasdan, Angry Birds Space o'yinini o'ynab qoldim. Men har bir darajadagi turli strategiyalarni aniqlashga harakat qilaman. U ajoyib o'yin.",1
"Hali ham o'ynay olmaydi. Qaror, iltimos, men uni yomon ko'raman. Men fav rpgni o'ynay olmayman. Iltimos, yangilanishlarni tuzatayotgan bo'lsangiz, iltimos, bizni xabardor qiling. Rahmat.",0
"Muammolarni o'rnatish. O'yin Samsung Galaxy SIIx Hercules qurilmasini yangilashni rad etadi. Aktsiyalardan faqatgina o'zgarish os-nishondir va bu pushaymonlardan beri yangilandi. Aks holda o'yin Motorola Xoom WiFi'imda o'ynaydi, deb o'ylayman.",0
"Mening ilovamni sekinlashtirmoq uchun meni to'xtatib qo'ymaydi, shuning uchun ilovadan tozalashim kerak va faqat orqaga qaytishim kerak. Bundan tashqari, men xalqlarning hikoyalarini ham ko'rmayapman va orqaga qaytaman",0
Perfect Bu men xohlagan narsani. Oddiy prognoz shunchaki ko'p narsalar va qo'ng'iroqlarni emas. Rahmat.,1
Ishlamayapti Hamma bill kurortlar o'yinlari kazinolarda mening sevimli joyim. Lekin mening telefonimda ular umuman ishlamaydi.,0
"Zack o'yinni sotib olish haqida ishonch hosil qilmayapman, xursand bo'ldim, sifatli vaqtni o'tkazdim",1
Ok,1
Eng yaxshisi,1
"HTC One m8 Verizon ustida ToSni qabul qila olmaydi Telefonimni o'ynashni xohlardim, lekin qabul qilish tugmasi ToS ekranida ishlamaydi. Agar yangilangan bo'lsa, sharhni o'zgartiradi.",0
"O'yin-kulgi va oson Qanchadan-qancha o'yin, hozirga qadar hech qanday bezovta qiluvchi to'xtatuvchi reklama ham. Reklamalar kichik pankartda va hali o'yinni bezovta qilmadi.",1
"Men ushbu ilovani o'chirib yuboraman deb so'rayman, chunki foydalanuvchi profilini yaratib bo'lmadi",0
Yaxshi o'yin Sizning zerikkaningiz uchun yaxshi.,1
Amaliyot uchun juda yaxshi. Bu asoslarni o'rganish va qarorlarimga tezroq erishishga yordam beradi. Yangilanish bunga arziydi.,1
"Samsung Galaxy S 5 smartfonida saqlana olmaysiz. Saqlashni xohlaysizmi, menyu faqat ilovani yopadi",0
Har 30 daqiqada 30 soniyali video reklamalar bo'lmagan taqdirda juda ko'p 30 soniya reklamalari ajoyib o'yin bo'lardi.,0
Ilova ishlamaydi. TV-ni aniqlay olmadim. Pul va vaqtning chiqindisi. Nolinchi reyting qaerda,0
juda ko'p ajoyib tortishish ilovalari o'yinini yaxshi ko'raman. bolalar sizni yanada murakkab darajalarda yangilab turing.,1
yaxshi ekan,1
"Yangilash ishlamayapti, men ilovani yangilaganimdan beri umuman ishlamaydi. Faqatgina muzlashadi. Buni tuzating yoki ilgarigidek qaytarib qo'ying.",0
"Chavandoz haqida ma'lumot yoki fotosuratlar yo'q. Bundan tashqari, jamoa tayoqchalari yo'q.",0
"Erkinlikdan boshqa hech narsam pulni qaytarishni xohlamayman. Erkinlikdan boshqa narsa yo'q, pulni qaytarishni istayman",0
"Ur o'yinlarini tarbiyalash, orzular kabi yangilanishlardan so'ng sizga rahmat",1
"Katta o'yin bu juda ko'p replay qiymatini kutmagan edim, ammo bolalarim va men uni o'ynashni yaxshi ko'raman.",1
Bu mening kosani yopib qo'yish uchun ketganimda ishlamaydi,0
"Mehki Ashvort Devis Hey Mening ismim mehki va bu o'yin eng yaxshisidir, lekin men o'ynaganimda o'chadi",1
Adfender bilan bu o'yin mukammal,1
"Eslatma 4 Agar Eslatma bo'lsa, xarid qilmang. Boshlang'ichda qulab tushadi va pulni qaytarib ololmayman Jami JUNK ...",0
Qani ketmon,0
"Yaxshi dastur. Lekin menga eng kerakli bo'lgan hujjatlar - masalan Soliq kodeksi, Jinoyat kodeksi, Fuqarolik kodeksi(2 qism), Jinoyat protsessual kabilarni ochmayapti. Model: Samsung Galaxy J320",0
Dastur baham ko'rishga to'lanadigan pulni berib yuboradi. Facebook almashish bir marta ishlamadi. Muntazam versiyasini olganimda muammolar yo'q edi. Bu sukut. Pulimni qaytarib olishni xohlayman.,0
